amfi_code,alpha,beta,r_squared,p_value,scheme_name,alpha_rank
119598,0.3034,-0.0232,0.0001,0.6872,SBI Small Cap Fund - Regular Plan - Growth,1
149324,0.3006,0.0115,0.0,0.8405,DSP Small Cap Fund - Regular - Growth,2
120505,0.2926,0.0005,0.0,0.9901,ICICI Pru Midcap Fund - Regular - Growth,3
148569,0.2827,0.0181,0.0002,0.6543,Mirae Asset Tax Saver Fund - Regular - Growth,4
120843,0.2733,-0.0228,0.0003,0.5305,Kotak Flexicap Fund - Regular - Growth,5
100033,0.272,0.0051,0.0,0.9064,HDFC Mid-Cap Opportunities Fund - Regular - Growth,6
148567,0.2698,0.0237,0.0005,0.4664,Mirae Asset Large Cap Fund - Regular - Growth,7
149323,0.266,-0.0025,0.0,0.9505,DSP Midcap Fund - Regular - Growth,8
119094,0.2608,-0.0663,0.0019,0.136,Axis Midcap Fund - Regular - Growth,9
119551,0.232,-0.0318,0.0009,0.3131,SBI Bluechip Fund - Regular Plan - Growth,10
118632,0.2183,-0.0084,0.0001,0.7966,Nippon India Large Cap Fund - Regular - Growth,11
101206,0.214,0.0211,0.0003,0.5276,ABSL Frontline Equity Fund - Regular - Growth,12
120504,0.2119,0.0162,0.0002,0.6219,ICICI Pru Bluechip Fund - Direct - Growth,13
148568,0.2087,-0.0264,0.0005,0.4554,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14
119552,0.1987,-0.0262,0.0006,0.4127,SBI Bluechip Fund - Direct Plan - Growth,15
125497,0.1773,0.0488,0.0018,0.1462,HDFC Top 100 Fund - Direct Plan - Growth,16
120503,0.177,-0.0403,0.0014,0.2054,ICICI Pru Bluechip Fund - Regular - Growth,17
118634,0.175,0.1035,0.0028,0.0733,Nippon India Small Cap Fund - Regular - Growth,18
102885,0.1705,-0.0195,0.0004,0.5076,UTI Nifty 50 Index Fund - Regular - Growth,19
120506,0.1625,0.0419,0.0013,0.2298,ICICI Pru Value Discovery Fund - Regular - Growth,20
102887,0.1621,0.0167,0.0002,0.644,UTI Flexi Cap Fund - Regular - Growth,21
118633,0.1564,-0.0366,0.0011,0.2532,Nippon India Large Cap Fund - Direct - Growth,22
118635,0.1514,-0.0014,0.0,0.9616,Nippon India ETF Nifty 50 BeES,23
149322,0.1317,-0.0041,0.0,0.902,DSP Top 100 Equity Fund - Regular - Growth,24
120841,0.1304,0.0364,0.0012,0.2385,Kotak Bluechip Fund - Regular - Growth,25
125498,0.1199,0.0091,0.0,0.8295,HDFC Mid-Cap Opportunities Fund - Direct - Growth,26
101207,0.109,-0.0653,0.0011,0.2692,ABSL Small Cap Fund - Regular - Growth,27
119093,0.0823,0.0259,0.0006,0.4191,Axis Bluechip Fund - Direct - Growth,28
120842,0.078,0.0181,0.0002,0.6596,Kotak Emerging Equity Fund - Regular - Growth,29
119092,0.069,0.0097,0.0001,0.7608,Axis Bluechip Fund - Regular - Growth,30
120507,0.0675,-0.0004,0.0001,0.6947,ICICI Pru Liquid Fund - Regular - Growth,31
120844,0.0646,-0.0004,0.0001,0.7333,Kotak Liquid Fund - Regular - Growth,32
101208,0.0609,0.0003,0.0,0.8182,ABSL Liquid Fund - Regular - Growth,33
119120,0.0562,-0.0064,0.0004,0.4804,SBI Magnum Gilt Fund - Regular Plan - Growth,34
118636,0.0507,0.0013,0.0,0.8905,Nippon India Gilt Securities Fund - Regular - Growth,35
119599,0.0488,0.062,0.001,0.278,SBI Small Cap Fund - Direct Plan - Growth,36
119095,0.048,-0.067,0.0012,0.2436,Axis Small Cap Fund - Regular - Growth,37
100025,0.0428,0.0012,0.0,0.897,HDFC Short Term Debt Fund - Regular - Growth,38
100016,0.0375,-0.0583,0.0027,0.0803,HDFC Top 100 Fund - Regular Plan - Growth,39
102886,0.029,-0.0421,0.0009,0.3106,UTI Mid Cap Fund - Regular - Growth,40
