amfi_code,var_95,cvar_95,scheme_name,fund_house,category,risk_category
101207,-0.02391,-0.03029,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High
119095,-0.02328,-0.02969,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High
119599,-0.02316,-0.03016,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High
118634,-0.02281,-0.02994,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High
149324,-0.02152,-0.02857,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High
119598,-0.0215,-0.02844,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High
119094,-0.017,-0.02237,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High
120842,-0.01695,-0.02125,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High
100033,-0.0169,-0.02185,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High
102886,-0.01686,-0.02177,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High
125498,-0.01676,-0.02148,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High
120505,-0.01622,-0.02236,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High
149323,-0.01587,-0.0209,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High
148569,-0.01526,-0.01985,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High
102887,-0.01374,-0.01796,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High
120843,-0.01333,-0.01711,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High
148568,-0.01331,-0.01738,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High
120506,-0.01301,-0.01779,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High
149322,-0.01296,-0.017,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate
100016,-0.01288,-0.01677,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate
119092,-0.01269,-0.01617,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate
148567,-0.01261,-0.01634,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate
119093,-0.01259,-0.01633,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate
120504,-0.01253,-0.01623,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate
125497,-0.0125,-0.01696,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate
118632,-0.01233,-0.01633,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate
101206,-0.01217,-0.01608,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate
119552,-0.01213,-0.01608,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate
120503,-0.01213,-0.0161,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate
118633,-0.01207,-0.01554,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate
119551,-0.01183,-0.01523,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate
120841,-0.01172,-0.01525,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate
102885,-0.01105,-0.01438,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate
118635,-0.01103,-0.01494,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate
119120,-0.00343,-0.00462,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low
100025,-0.00334,-0.00458,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low
118636,-0.00334,-0.00454,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low
101208,-0.00022,-0.00037,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low
120844,-0.0002,-0.00036,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low
120507,-0.0002,-0.00033,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low
